#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,322.07 GB
total user data,273.55 GB
percent overhead,0.150660

histogram,file size
count,47725,items
average,6010.194987,KB
min,0,KB
max,1124891,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,4050,0.084861,0.084861,1295.691406,0.000005,0.000005
2,4,803,0.016826,0.101687,2251.611328,0.000008,0.000012
4,8,833,0.017454,0.119141,4747.271484,0.000017,0.000029
8,16,28242,0.591765,0.710906,366129.885742,0.001276,0.001305
16,32,2385,0.049974,0.760880,44131.603516,0.000154,0.001459
32,64,8,0.000168,0.761048,400.497070,0.000001,0.001461
64,128,20,0.000419,0.761467,1830.921875,0.000006,0.001467
128,256,5,0.000105,0.761572,994.585938,0.000003,0.001470
256,512,14,0.000293,0.761865,5442.074219,0.000019,0.001489
512,1024,1073,0.022483,0.784348,971612.107422,0.003387,0.004877
1024,2048,1979,0.041467,0.825815,3203669.455078,0.011169,0.016046
2048,4096,980,0.020534,0.846349,3051902.730469,0.010640,0.026686
4096,8192,1901,0.039832,0.886181,13184962.823242,0.045967,0.072652
8192,16384,2143,0.044903,0.931084,19162414.758789,0.066806,0.139458
16384,32768,15,0.000314,0.931399,401709.603516,0.001400,0.140859
32768,65536,1754,0.036752,0.968151,96960323.886719,0.338033,0.478892
65536,131072,1432,0.030005,0.998156,101934457.551758,0.355375,0.834267
131072,262144,14,0.000293,0.998449,3359995.365234,0.011714,0.845981
262144,524288,41,0.000859,0.999309,18190255.108398,0.063417,0.909398
524288,1048576,31,0.000650,0.999958,23790238.466797,0.082940,0.992338
1048576,2097152,2,0.000042,1.000000,2197789.777344,0.007662,1.000000

histogram,capacity used
count,47725,items
average,7076.154542,KB
min,1,KB
max,1313457,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,49,0.001027,0.001027,73.500000,0.000000,0.000000
16,32,5637,0.118114,0.119141,143743.500000,0.000426,0.000426
32,64,28242,0.591765,0.710906,1397979.000000,0.004140,0.004565
64,128,2386,0.049995,0.760901,175443.000000,0.000520,0.005085
128,256,13,0.000272,0.761173,2611.500000,0.000008,0.005093
256,512,19,0.000398,0.761572,6684.500000,0.000020,0.005112
512,1024,45,0.000943,0.762514,39251.500000,0.000116,0.005229
1024,2048,1659,0.034762,0.797276,2116864.500000,0.006268,0.011497
2048,4096,1927,0.040377,0.837653,5154034.500000,0.015262,0.026759
4096,8192,1161,0.024327,0.861980,6850581.500000,0.020285,0.047044
8192,16384,3296,0.069062,0.931042,33251144.000000,0.098461,0.145505
16384,32768,10,0.000210,0.931252,254471.000000,0.000754,0.146259
32768,65536,803,0.016826,0.948078,44134700.500000,0.130688,0.276947
65536,131072,2390,0.050079,0.998156,188673529.000000,0.558686,0.835633
262144,524288,33,0.000691,0.998848,12732385.500000,0.037702,0.873335
524288,1048576,47,0.000985,0.999832,33400238.500000,0.098902,0.972237
1048576,2097152,8,0.000168,1.000000,9375740.000000,0.027763,1.000000

histogram,positive overhead
count,47757,items
average,1065.407521,KB
min,1,KB
max,188565,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,4068,0.085181,0.085181,101016.291016,0.001985,0.001985
2,4,804,0.016835,0.102016,18247.360352,0.000359,0.002344
