#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,1.71 TB
total user data,1.46 TB
percent overhead,0.146691

histogram,file size
count,127586,items
average,12300.244420,KB
min,0,KB
max,2565947,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,9717,0.076160,0.076160,3760.219727,0.000002,0.000002
2,4,837,0.006560,0.082721,2523.159180,0.000002,0.000004
4,8,2495,0.019555,0.102276,14298.498047,0.000009,0.000013
8,16,85173,0.667573,0.769849,1104563.525391,0.000704,0.000717
16,32,2395,0.018772,0.788621,47524.635742,0.000030,0.000747
32,64,2410,0.018889,0.807510,98027.443359,0.000062,0.000810
64,128,36,0.000282,0.807792,3314.330078,0.000002,0.000812
128,256,27,0.000212,0.808004,4855.792969,0.000003,0.000815
256,512,15,0.000118,0.808122,4963.491211,0.000003,0.000818
512,1024,424,0.003323,0.811445,395704.674805,0.000252,0.001070
1024,2048,2680,0.021005,0.832450,4562599.490234,0.002907,0.003978
2048,4096,3385,0.026531,0.858981,10130342.088867,0.006455,0.010433
4096,8192,2955,0.023161,0.882142,15541824.792969,0.009903,0.020336
8192,16384,4375,0.034291,0.916433,50268041.631836,0.032031,0.052367
16384,32768,3969,0.031108,0.947541,82004057.053711,0.052254,0.104621
32768,65536,237,0.001858,0.949399,11824226.373047,0.007535,0.112156
65536,131072,1963,0.015386,0.964785,186855305.188477,0.119066,0.231222
131072,262144,2993,0.023459,0.988243,533102903.709961,0.339699,0.570921
262144,524288,1274,0.009985,0.998229,418512837.984375,0.266681,0.837602
524288,1048576,113,0.000886,0.999114,90579619.838867,0.057718,0.895320
1048576,2097152,104,0.000815,0.999929,142395230.249023,0.090736,0.986056
2097152,4194304,9,0.000071,1.000000,21882460.396484,0.013944,1.000000

histogram,capacity used
count,127586,items
average,14414.608272,KB
min,1,KB
max,2996105,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,75,0.000588,0.000588,112.500000,0.000000,0.000000
16,32,12974,0.101688,0.102276,330837.000000,0.000180,0.000180
32,64,85173,0.667573,0.769849,4216063.500000,0.002292,0.002472
64,128,3218,0.025222,0.795072,276027.000000,0.000150,0.002622
128,256,1603,0.012564,0.807636,235468.500000,0.000128,0.002751
256,512,47,0.000368,0.808004,18558.500000,0.000010,0.002761
512,1024,32,0.000251,0.808255,25048.000000,0.000014,0.002774
1024,2048,1254,0.009829,0.818083,1803361.000000,0.000981,0.003755
2048,4096,3848,0.030160,0.848244,10683436.000000,0.005809,0.009564
4096,8192,3998,0.031336,0.879579,21698933.000000,0.011799,0.021363
8192,16384,3676,0.028812,0.908391,43255570.000000,0.023520,0.044882
16384,32768,4990,0.039111,0.947502,115129405.000000,0.062601,0.107483
32768,65536,228,0.001787,0.949289,12940910.000000,0.007037,0.114520
65536,131072,1418,0.011114,0.960403,138590751.000000,0.075358,0.189878
131072,262144,2991,0.023443,0.983846,542074542.500000,0.294750,0.484627
262144,524288,1802,0.014124,0.997970,631349847.000000,0.343292,0.827920
524288,1048576,105,0.000823,0.998793,77931125.500000,0.042375,0.870294
1048576,2097152,136,0.001066,0.999859,192437316.000000,0.104637,0.974931
2097152,4194304,18,0.000141,1.000000,46104899.000000,0.025069,1.000000

histogram,positive overhead
count,127639,items
average,2113.649394,KB
min,1,KB
max,430158,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,9742,0.076325,0.076325,242491.661133,0.000899,0.000899
2,4,839,0.006573,0.082898,18865.681641,0.000070,0.000969
4,8,2495,0.019547,0.102445,49324.001953,0.000183,0.001152
8,16,85173,0.667296,0.769741,3111499.974609,0.011533,0.012685
16,32,2397,0.018780,0.788521,128833.674805,0.000478,0.013162
32,64,2414,0.018913,0.807433,235123.475586,0.000872,0.014034
64,128,38,0.000298,0.807731,8166.736328,0.000030,0.014064
128,256,37,0.000290,0.808021,14189.218750,0.000053,0.014117
256,512,23,0.000180,0.808201,14472.571289,0.000054,0.014170
512,1024,424,0.003322,0.811523,112811.325195,0.000418,0.014589
1024,2048,2680,0.020997,0.832520,1232412.509766,0.004568,0.019157
2048,4096,3385,0.026520,0.859040,2189207.411133,0.008115,0.027271
4096,8192,2955,0.023151,0.882191,3053927.707031,0.011320,0.038591
8192,16384,4375,0.034276,0.916468,8964848.868164,0.033230,0.071821
16384,32768,3969,0.031096,0.947563,14311312.446289,0.053047,0.124868
32768,65536,237,0.001857,0.949420,2004153.126953,0.007429,0.132297
65536,131072,1963,0.015379,0.964799,31515583.311523,0.116818,0.249115
131072,262144,2993,0.023449,0.988248,89647521.790039,0.332294,0.581408
262144,524288,1274,0.009981,0.998229,70234273.015625,0.260335,0.841744
524288,1048576,113,0.000885,0.999115,15178093.661133,0.056260,0.898004
1048576,2097152,104,0.000815,0.999929,23851389.750977,0.088409,0.986413
2097152,4194304,9,0.000071,1.000000,3665593.103516,0.013587,1.000000

histogram,negative overhead
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct

histogram,directory size (entries)
count,52,items
average,2454.576923,ents
min,0,ents
max,8300,ents
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,9,0.173077,0.173077,7.000000,0.000055,0.000055
4,7,3,0.057692,0.230769,12.000000,0.000094,0.000149
8,15,4,0.076923,0.307692,38.000000,0.000298,0.000447
16,31,7,0.134615,0.442308,161.000000,0.001261,0.001708
32,63,3,0.057692,0.500000,164.000000,0.001285,0.002993
512,1023,2,0.038462,0.538462,1654.000000,0.012959,0.015951
1024,2047,4,0.076923,0.615385,6556.000000,0.051364,0.067315
2048,4095,2,0.038462,0.653846,6462.000000,0.050628,0.117943
