#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,282.34 GB
total user data,239.59 GB
percent overhead,0.151412

histogram,file size
count,47731,items
average,5263.349668,KB
min,0,KB
max,1016658,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2234,0.046804,0.046804,1200.355469,0.000005,0.000005
2,4,811,0.016991,0.063795,1955.974609,0.000008,0.000013
4,8,810,0.016970,0.080765,4614.526367,0.000018,0.000031
8,16,29374,0.615407,0.696172,382205.638672,0.001521,0.001552
16,32,3084,0.064612,0.760784,53495.442383,0.000213,0.001765
32,64,15,0.000314,0.761099,742.459961,0.000003,0.001768
64,128,18,0.000377,0.761476,1475.935547,0.000006,0.001774
128,256,7,0.000147,0.761622,1298.261719,0.000005,0.001779
256,512,27,0.000566,0.762188,12059.759766,0.000048,0.001827
512,1024,1065,0.022313,0.784501,843462.084961,0.003357,0.005185
1024,2048,1787,0.037439,0.821940,2586402.660156,0.010295,0.015480
2048,4096,1379,0.028891,0.850831,3911681.000977,0.015570,0.031050
4096,8192,2385,0.049968,0.900798,14903915.958008,0.059325,0.090375
8192,16384,1461,0.030609,0.931407,14172758.983398,0.056415,0.146790
16384,32768,173,0.003624,0.935032,5116295.933594,0.020365,0.167155
32768,65536,1995,0.041797,0.976828,101078925.164062,0.402344,0.569500
65536,131072,1034,0.021663,0.998492,79866185.636719,0.317907,0.887407
131072,262144,20,0.000419,0.998911,3965598.544922,0.015785,0.903192
262144,524288,34,0.000712,0.999623,12297912.967773,0.048952,0.952143
524288,1048576,18,0.000377,1.000000,12022755.729492,0.047857,1.000000

histogram,capacity used
count,47731,items
average,6202.321604,KB
min,1,KB
max,1186761,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,127,0.002661,0.002661,190.500000,0.000001,0.000001
16,32,3728,0.078104,0.080765,95064.000000,0.000321,0.000322
32,64,29375,0.615428,0.696193,1454062.500000,0.004912,0.005233
64,128,3089,0.064717,0.760910,227905.500000,0.000770,0.006003
128,256,20,0.000419,0.761329,4182.000000,0.000014,0.006017
256,512,14,0.000293,0.761622,5301.000000,0.000018,0.006035
512,1024,468,0.009805,0.771427,419574.000000,0.001417,0.007453
1024,2048,1768,0.037041,0.808468,2469284.000000,0.008341,0.015794
2048,4096,1654,0.034653,0.843121,4616505.000000,0.015594,0.031388
4096,8192,1866,0.039094,0.882215,11459783.000000,0.038710,0.070097
8192,16384,2345,0.049129,0.931344,24630253.500000,0.083198,0.153296
16384,32768,44,0.000922,0.932266,1335410.000000,0.004511,0.157807
32768,65536,1412,0.029582,0.961849,72507366.000000,0.244922,0.402728
65536,131072,1749,0.036643,0.998492,143786639.500000,0.485695,0.888423
131072,262144,16,0.000335,0.998827,3525648.000000,0.011909,0.900333
262144,524288,32,0.000670,0.999497,12093176.000000,0.040849,0.941182
524288,1048576,21,0.000440,0.999937,14022823.500000,0.047368,0.988549
1048576,2097152,3,0.000063,1.000000,3389844.500000,0.011451,1.000000

histogram,positive overhead
count,47760,items
average,938.565910,KB
min,1,KB
max,170102,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,2249,0.047090,0.047090,52902.783203,0.001180,0.001180
2,4,812,0.017002,0.064091,18746.847656,0.000418,0.001598
4,8,810,0.016960,0.081051,16040.473633,0.000358,0.001956
8,16,29374,0.615034,0.696085,1071807.361328,0.023910,0.025867
16,32,3086,0.064615,0.760699,174056.368164,0.003883,0.029750
32,64,16,0.000335,0.761034,1987.406250,0.000044,0.029794
64,128,19,0.000398,0.761432,3796.597656,0.000085,0.029879
128,256,16,0.000335,0.761767,8217.447266,0.000183,0.030062
256,512,27,0.000565,0.762332,7068.740234,0.000158,0.030220
512,1024,1065,0.022299,0.784631,280911.415039,0.006267,0.036486
1024,2048,1787,0.037416,0.822048,667269.839844,0.014886,0.051372
