#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,200.65 GB
total user data,169.62 GB
percent overhead,0.154667

histogram,file size
count,47708,items
average,3728.048534,KB
min,0,KB
max,915070,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,3963,0.083068,0.083068,1299.899414,0.000007,0.000007
2,4,799,0.016748,0.099816,2199.626953,0.000012,0.000020
4,8,826,0.017314,0.117129,4703.485352,0.000026,0.000046
8,16,28332,0.593863,0.710992,367176.342773,0.002064,0.002111
16,32,2387,0.050034,0.761025,44520.569336,0.000250,0.002361
32,64,7,0.000147,0.761172,364.479492,0.000002,0.002363
64,128,20,0.000419,0.761591,1841.105469,0.000010,0.002373
128,256,114,0.002390,0.763981,26097.160156,0.000147,0.002520
256,512,525,0.011004,0.774985,224480.361328,0.001262,0.003782
512,1024,1773,0.037164,0.812149,1354006.937500,0.007613,0.011395
1024,2048,1401,0.029366,0.841515,2055041.125000,0.011554,0.022949
2048,4096,1405,0.029450,0.870965,3885342.477539,0.021845,0.044795
4096,8192,2817,0.059047,0.930012,15884355.961914,0.089309,0.134104
8192,16384,230,0.004821,0.934833,2963781.319336,0.016664,0.150768
16384,32768,687,0.014400,0.949233,16617409.471680,0.093431,0.244199
32768,65536,2326,0.048755,0.997988,102449409.759766,0.576019,0.820217
65536,131072,18,0.000377,0.998365,1638342.954102,0.009212,0.829429
131072,262144,24,0.000503,0.998868,4975202.459961,0.027973,0.857402
262144,524288,35,0.000734,0.999602,13431828.976562,0.075520,0.932922
524288,1048576,19,0.000398,1.000000,11930335.000977,0.067078,1.000000

histogram,capacity used
count,47708,items
average,4409.996688,KB
min,1,KB
max,1068537,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,54,0.001132,0.001132,81.000000,0.000000,0.000000
16,32,5534,0.115997,0.117129,141117.000000,0.000671,0.000671
32,64,28332,0.593863,0.710992,1402434.000000,0.006666,0.007337
64,128,2388,0.050054,0.761046,175758.000000,0.000835,0.008172
128,256,12,0.000252,0.761298,2442.000000,0.000012,0.008184
256,512,107,0.002243,0.763541,49528.500000,0.000235,0.008419
512,1024,1393,0.029198,0.792739,1121145.500000,0.005329,0.013748
1024,2048,1837,0.038505,0.831244,2528363.500000,0.012017,0.025766
2048,4096,1569,0.032888,0.864132,4372705.500000,0.020784,0.046549
4096,8192,2737,0.057370,0.921502,16782329.500000,0.079767,0.126316
8192,16384,543,0.011382,0.932883,5391382.500000,0.025625,0.151941
16384,32768,617,0.012933,0.945816,15183853.500000,0.072169,0.224111
32768,65536,2211,0.046344,0.992161,106382516.500000,0.505639,0.729750
65536,131072,290,0.006079,0.998239,20557875.000000,0.097712,0.827462
131072,262144,20,0.000419,0.998659,3804302.000000,0.018082,0.845544
262144,524288,42,0.000880,0.999539,16807351.000000,0.079886,0.925430
524288,1048576,21,0.000440,0.999979,14620399.500000,0.069491,0.994921
1048576,2097152,1,0.000021,1.000000,1068537.500000,0.005079,1.000000

histogram,positive overhead
count,47738,items
average,681.685351,KB
min,1,KB
max,153466,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,3979,0.083351,0.083351,98671.014648,0.003032,0.003032
2,4,800,0.016758,0.100109,18197.335938,0.000559,0.003591
4,8,826,0.017303,0.117412,16359.514648,0.000503,0.004094
8,16,28332,0.593489,0.710901,1035257.657227,0.031813,0.035907
16,32,2389,0.050044,0.760945,131441.741211,0.004039,0.039946
32,64,8,0.000168,0.761113,1153.340820,0.000035,0.039981
64,128,21,0.000440,0.761553,4514.427734,0.000139,0.040120
128,256,123,0.002577,0.764129,36259.048828,0.001114,0.041234
256,512,525,0.010998,0.775127,137187.138672,0.004216,0.045450
512,1024,1773,0.037140,0.812267,467852.562500,0.014377,0.059827
1024,2048,1401,0.029348,0.841615,522844.375000,0.016067,0.075893
2048,4096,1405,0.029431,0.871046,852653.022461,0.026201,0.102095
4096,8192,2817,0.059010,0.930056,3016637.538086,0.092699,0.194794
8192,16384,230,0.004818,0.934874,533923.680664,0.016407,0.211201
16384,32768,687,0.014391,0.949265,2871805.028320,0.088248,0.299449
32768,65536,2326,0.048724,0.997989,17428767.240234,0.535573,0.835022
65536,131072,18,0.000377,0.998366,276596.045898,0.008500,0.843521
131072,262144,24,0.000503,0.998869,836825.540039,0.025715,0.869236
262144,524288,35,0.000733,0.999602,2254599.523438,0.069282,0.938518
524288,1048576,19,0.000398,1.000000,2000749.499023,0.061482,1.000000

histogram,negative overhead
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct

histogram,directory size (entries)
count,29,items
average,1646.103448,ents
min,0,ents
max,5008,ents
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,5,0.172414,0.172414,3.000000,0.000063,0.000063
