#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,514.30 GB
total user data,438.38 GB
percent overhead,0.147616

histogram,file size
count,47688,items
average,9639.220697,KB
min,0,KB
max,2173604,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,4011,0.084109,0.084109,1285.972656,0.000003,0.000003
2,4,820,0.017195,0.101304,2327.873047,0.000005,0.000008
4,8,821,0.017216,0.118520,4679.009766,0.000010,0.000018
8,16,28235,0.592078,0.710598,366612.465820,0.000798,0.000816
16,32,2401,0.050348,0.760946,45527.229492,0.000099,0.000915
32,64,7,0.000147,0.761093,382.027344,0.000001,0.000915
64,128,23,0.000482,0.761575,2075.440430,0.000005,0.000920
128,256,4,0.000084,0.761659,736.643555,0.000002,0.000922
256,512,2,0.000042,0.761701,728.715820,0.000002,0.000923
512,1024,97,0.002034,0.763735,88821.157227,0.000193,0.001116
1024,2048,1377,0.028875,0.792610,2088682.344727,0.004544,0.005660
2048,4096,1743,0.036550,0.829160,4997492.563477,0.010872,0.016532
4096,8192,1168,0.024493,0.853653,6801547.670898,0.014796,0.031328
8192,16384,2717,0.056975,0.910627,32586490.284180,0.070890,0.102219
16384,32768,966,0.020257,0.930884,17752438.725586,0.038620,0.140838
32768,65536,367,0.007696,0.938580,21068682.734375,0.045834,0.186672
65536,131072,2226,0.046678,0.985258,211149776.752930,0.459346,0.646018
131072,262144,615,0.012896,0.998155,89619480.580078,0.194963,0.840980
262144,524288,14,0.000294,0.998448,5160281.601562,0.011226,0.852206
524288,1048576,56,0.001174,0.999623,42785932.175781,0.093079,0.945285
1048576,2097152,17,0.000356,0.999979,22977570.322266,0.049987,0.995271
2097152,4194304,1,0.000021,1.000000,2173604.299805,0.004729,1.000000

histogram,capacity used
count,47688,items
average,11308.383073,KB
min,1,KB
max,2536849,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,30,0.000629,0.000629,45.000000,0.000000,0.000000
16,32,5622,0.117891,0.118520,143361.000000,0.000266,0.000266
32,64,28235,0.592078,0.710598,1397632.500000,0.002592,0.002858
64,128,2401,0.050348,0.760946,176497.500000,0.000327,0.003185
128,256,14,0.000294,0.761240,2829.000000,0.000005,0.003190
256,512,20,0.000419,0.761659,6726.000000,0.000012,0.003203
512,1024,14,0.000294,0.761953,12957.000000,0.000024,0.003227
1024,2048,916,0.019208,0.781161,1418926.000000,0.002631,0.005858
2048,4096,1786,0.037452,0.818613,5126055.000000,0.009505,0.015363
4096,8192,1360,0.028519,0.847131,7616864.000000,0.014124,0.029488
8192,16384,2358,0.049446,0.896578,29385793.000000,0.054491,0.083979
16384,32768,1635,0.034285,0.930863,32595964.500000,0.060444,0.144423
32768,65536,123,0.002579,0.933442,7172112.500000,0.013300,0.157723
65536,131072,2046,0.042904,0.976346,204410229.000000,0.379047,0.536770
131072,262144,1040,0.021808,0.998155,164486552.000000,0.305015,0.841784
262144,524288,10,0.000210,0.998364,3834511.000000,0.007111,0.848895
524288,1048576,44,0.000923,0.999287,34152250.000000,0.063330,0.912225
1048576,2097152,31,0.000650,0.999937,40508206.500000,0.075116,0.987341
2097152,4194304,3,0.000063,1.000000,6826660.500000,0.012659,1.000000

histogram,positive overhead
count,47715,items
average,1668.381112,KB
min,1,KB
max,363245,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,4024,0.084334,0.084334,100433.281250,0.001262,0.001262
2,4,821,0.017206,0.101540,18604.808594,0.000234,0.001495
4,8,821,0.017206,0.118747,16256.490234,0.000204,0.001700
8,16,28235,0.591743,0.710489,1031020.034180,0.012951,0.014651
16,32,2403,0.050362,0.760851,131296.081055,0.001649,0.016300
32,64,8,0.000168,0.761019,1159.838867,0.000015,0.016315
64,128,24,0.000503,0.761522,5028.592773,0.000063,0.016378
128,256,13,0.000272,0.761794,7454.565430,0.000094,0.016472
256,512,2,0.000042,0.761836,522.284180,0.000007,0.016478
512,1024,97,0.002033,0.763869,25356.342773,0.000319,0.016797
1024,2048,1377,0.028859,0.792728,518855.155273,0.006518,0.023314
2048,4096,1743,0.036529,0.829257,1095233.936523,0.013758,0.037072
4096,8192,1168,0.024479,0.853736,1286108.329102,0.016156,0.053228
8192,16384,2717,0.056942,0.910678,5847841.215820,0.073459,0.126687
16384,32768,966,0.020245,0.930923,3101962.274414,0.038966,0.165653
32768,65536,367,0.007692,0.938615,3563563.765625,0.044765,0.210418
65536,131072,2226,0.046652,0.985267,35580314.247070,0.446951,0.657369
131072,262144,615,0.012889,0.998156,15051553.919922,0.189074,0.846442
262144,524288,14,0.000293,0.998449,863883.398438,0.010852,0.857294
524288,1048576,56,0.001174,0.999623,7155687.824219,0.089888,0.947182
1048576,2097152,17,0.000356,0.999979,3841423.177734,0.048255,0.995437
2097152,4194304,1,0.000021,1.000000,363245.200195,0.004563,1.000000

histogram,negative overhead
count,0,items
average,0.000000,KB
min,0,KB
max,0,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct

histogram,directory size (entries)
count,26,items
average,1835.153846,ents
min,0,ents
max,5008,ents
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,4,0.153846,0.153846,3.000000,0.000063,0.000063
2,3,1,0.038462,0.192308,3.000000,0.000063,0.000126
8,15,2,0.076923,0.269231,19.000000,0.000398,0.000524
16,31,5,0.192308,0.461538,107.000000,0.002243,0.002766
32,63,1,0.038462,0.500000,56.000000,0.001174,0.003940
512,1023,2,0.076923,0.576923,1654.000000,0.034665,0.038605
1024,2047,1,0.038462,0.615385,1633.000000,0.034225,0.072830
2048,4095,1,0.038462,0.653846,3231.000000,0.067716,0.140546
4096,8191,9,0.346154,1.000000,41008.000000,0.859454,1.000000

histogram,directory size
count,26,items
average,65.656964,KB
min,0,KB
max,176,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,12,0.461538,0.461538,4.681641,0.002742,0.002742
2,4,1,0.038462,0.500000,2.818359,0.001651,0.004393
16,32,2,0.076923,0.576923,61.189453,0.035844,0.040238
32,64,1,0.038462,0.615385,54.133789,0.031711,0.071949
64,128,1,0.038462,0.653846,107.966797,0.063246,0.135196
128,256,9,0.346154,1.000000,1476.291016,0.864804,1.000000

histogram,filename length
count,47715,items
average,18.636928,chars
min,4,chars
max,62,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,7,22,0.000461,0.000461,117.000000,0.000132,0.000132
8,15,226,0.004736,0.005198,2836.000000,0.003189,0.003321
16,23,47381,0.993000,0.998198,883283.000000,0.993278,0.996598
24,31,23,0.000482,0.998680,592.000000,0.000666,0.997264
32,39,33,0.000692,0.999371,1175.000000,0.001321,0.998585
40,47,27,0.000566,0.999937,1098.000000,0.001235,0.999820
48,55,2,0.000042,0.999979,98.000000,0.000110,0.999930
56,63,1,0.000021,1.000000,62.000000,0.000070,1.000000

histogram,link count
count,47688,items
average,1.000000,links
min,1,links
max,1,links
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,1,47688,1.000000,1.000000,47688.000000,1.000000,1.000000

histogram,symlink target length
count,1,items
average,66.000000,chars
min,66,chars
max,66,chars
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
64,71,1,1.000000,1.000000,66.000000,1.000000,1.000000

relative symlink target pct,0.000000
absolute symlink target pct,1.000000
histogram,mtime (files)
count,47688,items
average,12.169867,days
min,2,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
2,4,1,0.000021,0.000021,2.103125,0.000004,0.000004
4,8,6,0.000126,0.000147,34.406736,0.000059,0.000063
8,16,47659,0.999392,0.999539,578051.509769,0.996028,0.996091
16,32,1,0.000021,0.999560,16.065475,0.000028,0.996119
32,64,6,0.000126,0.999685,291.591829,0.000502,0.996621
64,128,2,0.000042,0.999727,239.546620,0.000413,0.997034
128,256,13,0.000273,1.000000,1721.407153,0.002966,1.000000

histogram,mtime (KB)
count,459675156,items
average,12.064437,days
min,2,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
2,4,136,0.000000,0.000000,287.750220,0.000000,0.000000
4,8,443,0.000001,0.000001,2623.828761,0.000000,0.000001
8,16,459674558,0.999999,1.000000,5545717279.096337,0.999999,1.000000
16,32,0,0.000000,1.000000,2.525919,0.000000,1.000000
32,64,5,0.000000,1.000000,255.438118,0.000000,1.000000
64,128,3,0.000000,1.000000,455.874535,0.000000,1.000000
128,256,7,0.000000,1.000000,1089.358028,0.000000,1.000000

histogram,ctime (files)
count,47688,items
average,12.129064,days
min,2,days
max,14,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
2,4,1,0.000021,0.000021,2.103125,0.000004,0.000004
4,8,6,0.000126,0.000147,34.406736,0.000059,0.000063
8,16,47681,0.999853,1.000000,578374.311470,0.999937,1.000000

histogram,ctime (KB)
count,459675156,items
average,12.064382,days
min,2,days
max,14,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
2,4,136,0.000000,0.000000,287.750220,0.000000,0.000000
4,8,443,0.000001,0.000001,2623.828761,0.000000,0.000001
8,16,459674576,0.999999,1.000000,5545693855.352197,0.999999,1.000000

histogram,atime (files)
count,47688,items
average,12.169867,days
min,2,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
2,4,1,0.000021,0.000021,2.103125,0.000004,0.000004
4,8,6,0.000126,0.000147,34.406736,0.000059,0.000063
8,16,47659,0.999392,0.999539,578051.509769,0.996028,0.996091
16,32,1,0.000021,0.999560,16.065475,0.000028,0.996119
32,64,6,0.000126,0.999685,291.591829,0.000502,0.996621
64,128,2,0.000042,0.999727,239.546620,0.000413,0.997034
128,256,13,0.000273,1.000000,1721.407153,0.002966,1.000000

histogram,atime (KB)
count,459675156,items
average,12.064437,days
min,2,days
max,182,days
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
2,4,136,0.000000,0.000000,287.750220,0.000000,0.000000
4,8,443,0.000001,0.000001,2623.828761,0.000000,0.000001
8,16,459674558,0.999999,1.000000,5545717279.096337,0.999999,1.000000
16,32,0,0.000000,1.000000,2.525919,0.000000,1.000000
32,64,5,0.000000,1.000000,255.438118,0.000000,1.000000
64,128,3,0.000000,1.000000,455.874535,0.000000,1.000000
128,256,7,0.000000,1.000000,1089.358028,0.000000,1.000000

