#Generated by fsstats v1.4.5 (03/22/2008)
#Comment: This is a comment line that can be modified or repeated before
#uploading to record voluntarily added information.

skipped special files,0
skipped duplicate hardlinks,0
skipped snapshot dirs,0
total capacity used,1.23 TB
total user data,1.05 TB
percent overhead,0.147692

histogram,file size
count,124767,items
average,9047.613923,KB
min,0,KB
max,10481845,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,7786,0.062404,0.062404,3209.005859,0.000003,0.000003
2,4,843,0.006757,0.069161,2287.383789,0.000002,0.000005
4,8,1670,0.013385,0.082546,9508.906250,0.000008,0.000013
8,16,85424,0.684668,0.767214,1106016.185547,0.000980,0.000993
16,32,2792,0.022378,0.789592,52943.809570,0.000047,0.001040
32,64,2794,0.022394,0.811986,107564.601562,0.000095,0.001135
64,128,392,0.003142,0.815127,35158.442383,0.000031,0.001166
128,256,711,0.005699,0.820826,130103.733398,0.000115,0.001282
256,512,441,0.003535,0.824361,194052.748047,0.000172,0.001454
512,1024,1385,0.011101,0.835461,1145103.770508,0.001014,0.002468
1024,2048,2627,0.021055,0.856517,4121870.137695,0.003651,0.006119
2048,4096,3887,0.031154,0.887671,11639633.403320,0.010311,0.016430
4096,8192,2829,0.022674,0.910345,14406293.670898,0.012762,0.029192
8192,16384,3755,0.030096,0.940441,50330708.797852,0.044586,0.073779
16384,32768,1776,0.014235,0.954676,34987043.790039,0.030994,0.104772
32768,65536,886,0.007101,0.961777,37120403.526367,0.032884,0.137656
65536,131072,2142,0.017168,0.978945,207273634.879883,0.183616,0.321272
131072,262144,1961,0.015717,0.994662,383035679.355469,0.339317,0.660589
262144,524288,529,0.004240,0.998902,162893840.615234,0.144302,0.804890
524288,1048576,79,0.000633,0.999535,62241037.232422,0.055137,0.860027
1048576,2097152,40,0.000321,0.999856,55766845.318359,0.049402,0.909429
2097152,4194304,10,0.000080,0.999936,27337234.708984,0.024217,0.933646
4194304,8388608,2,0.000016,0.999952,16690893.023438,0.014786,0.948432
8388608,16777216,6,0.000048,1.000000,58212579.304688,0.051568,1.000000

histogram,capacity used
count,124767,items
average,10615.270244,KB
min,1,KB
max,12233921,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,465,0.003727,0.003727,697.500000,0.000001,0.000001
16,32,9834,0.078819,0.082546,250767.000000,0.000189,0.000190
32,64,85424,0.684668,0.767214,4228488.000000,0.003193,0.003383
64,128,4729,0.037903,0.805117,444925.500000,0.000336,0.003718
128,256,1032,0.008271,0.813388,170748.000000,0.000129,0.003847
256,512,911,0.007302,0.820690,378278.500000,0.000286,0.004133
512,1024,962,0.007710,0.828400,737507.000000,0.000557,0.004690
1024,2048,2108,0.016895,0.845296,2967114.000000,0.002240,0.006930
2048,4096,3780,0.030296,0.875592,10985878.000000,0.008295,0.015225
4096,8192,4060,0.032541,0.908133,21289074.000000,0.016074,0.031299
8192,16384,2086,0.016719,0.924852,26618921.000000,0.020098,0.051397
16384,32768,3706,0.029703,0.954555,75721055.000000,0.057172,0.108570
32768,65536,846,0.006781,0.961336,40007229.000000,0.030207,0.138777
65536,131072,1419,0.011373,0.972709,134847296.500000,0.101815,0.240592
131072,262144,2014,0.016142,0.988851,352368461.000000,0.266052,0.506643
262144,524288,1234,0.009890,0.998742,385099131.000000,0.290765,0.797408
524288,1048576,74,0.000593,0.999335,55226751.000000,0.041698,0.839106
1048576,2097152,57,0.000457,0.999792,75862461.500000,0.057279,0.896386
2097152,4194304,18,0.000144,0.999936,49813139.000000,0.037611,0.933996
8388608,16777216,8,0.000064,1.000000,87417500.000000,0.066004,1.000000

histogram,positive overhead
count,124814,items
average,1567.230057,KB
min,1,KB
max,1752076,KB
bucket min,bucket max,count,percent,cumulative pct,val count,percent,cumulative pct
0,2,7804,0.062525,0.062525,184387.112305,0.000943,0.000943
2,4,846,0.006778,0.069303,19277.873047,0.000099,0.001041
4,8,1670,0.013380,0.082683,33076.093750,0.000169,0.001210
8,16,85424,0.684410,0.767093,3122471.814453,0.015963,0.017173
16,32,2794,0.022385,0.789479,156962.000977,0.000802,0.017975
32,64,2798,0.022417,0.811896,260050.317383,0.001329,0.019305
