#node,ip,hostnames,otherinterfaces,comments,disable
"node246","192.168.33.46",,,,
"node1223","192.168.32.246",,,,
"bariumphys","192.168.34.55",,,,
"node1018","192.168.35.69",,,,
"node1019","192.168.35.70",,,,
"node1020","192.168.35.71",,,,
"node350","192.168.33.150",,,,
"node385","192.168.33.185",,,,
"node1021","192.168.35.72",,,,
"node1022","192.168.35.73",,,,
"node1023","192.168.35.74",,,,
"node1024","192.168.35.75",,,,
"node1025","192.168.35.76",,,,
"node1026","192.168.35.77",,,,
"node1027","192.168.35.78",,,,
"node1028","192.168.35.79",,,,
"node1029","192.168.35.80",,,,
"node1030","192.168.35.81",,,,
"node1031","192.168.35.82",,,,
"node328","192.168.33.128",,,,
"node1150","192.168.34.200",,,,
"wga7","192.168.34.43",,,,
"wga8","192.168.34.44",,,,
"wga9","192.168.34.45",,,,
"crd2","192.168.32.5",,,,
"crd3","192.168.32.6",,,,
"ibmdemo","192.168.32.250",,,,
"crd7","192.168.32.247",,,,
"crd4","192.168.32.7",,,,
"crd1","192.168.32.4",,,,
"crd5","192.168.32.9",,,,
"crd6","192.168.32.10",,,,
"node1384","192.168.35.95",,,,
"node1386","192.168.35.97",,,,
"node1388","192.168.35.99",,,,
"node1390","192.168.35.101",,,,
"node1391","192.168.35.102",,,,
"node1392","192.168.35.103",,,,
"node1394","192.168.35.105",,,,
"node1397","192.168.35.108",,,,
"node1399","192.168.35.110",,,,
"node1389","192.168.35.100",,,,
"node1398","192.168.35.109",,,,
"node1385","192.168.35.96",,,,
"node1387","192.168.35.98",,,,
"node1395","192.168.35.106",,,,
"crd8","192.168.32.248",,,,
"thorium","192.168.34.41",,,,
"node1368","192.168.32.191",,,,
"node1369","192.168.32.192",,,,
"node1370","192.168.32.193",,,,
"node1371","192.168.32.194",,,,
"node1373","192.168.32.196",,,,
"node1374","192.168.32.197",,,,
"node1375","192.168.32.198",,,,
"node1376","192.168.32.199",,,,
"node1377","192.168.32.200",,,,
"node1378","192.168.32.201",,,,
"node1379","192.168.32.202",,,,
"node1380","192.168.32.203",,,,
"node1381","192.168.32.204",,,,
"node1383","192.168.32.206",,,,
"node1396","192.168.35.107",,,,
"node1382","192.168.32.205",,,,
"node1393","192.168.35.104",,,,
"proteus","192.168.32.23",,,,
"node1372","192.168.32.195",,,,
"node1016","192.168.35.67",,,,
"node1017","192.168.35.68",,,,
"germanium","192.168.32.251",,,,
"scandium","192.168.32.56",,,,
"roquefort","192.168.32.149",,,,
"node1149","192.168.34.199",,,,
"node1144","192.168.34.194",,,,
"node1145","192.168.34.195",,,,
"node1147","192.168.34.197",,,,
"node1148","192.168.34.198",,,,
"node1152","192.168.34.202",,,,
"node1153","192.168.34.203",,,,
"node1157","192.168.34.207",,,,
"node1155","192.168.34.205",,,,
"node1158","192.168.34.208",,,,
"node1146","192.168.34.196",,,,
"node1154","192.168.34.204",,,,
"node1156","192.168.34.206",,,,
"node1159","192.168.34.209",,,,
"node1128","192.168.34.178",,,,
"node1129","192.168.34.179",,,,
"node1130","192.168.34.180",,,,
"node1131","192.168.34.181",,,,
"node1132","192.168.34.182",,,,
"node1133","192.168.34.183",,,,
"node1134","192.168.34.184",,,,
"node1135","192.168.34.185",,,,
"node1136","192.168.34.186",,,,
"node1137","192.168.34.187",,,,
"node1138","192.168.34.188",,,,
"node1139","192.168.34.189",,,,
"node1140","192.168.34.190",,,,
"node1141","192.168.34.191",,,,
"node1142","192.168.34.192",,,,
"node1143","192.168.34.193",,,,
"node144","192.168.34.241",,,,
"node142","192.168.34.239",,,,
"node143","192.168.34.240",,,,
"node145","192.168.34.242",,,,
"node146","192.168.34.243",,,,
"node147","192.168.34.244",,,,
"node149","192.168.34.246",,,,
"node152","192.168.34.249",,,,
"node153","192.168.34.250",,,,
"node154","192.168.34.251",,,,
"node155","192.168.34.252",,,,
"node157","192.168.34.254",,,,
"node158","192.168.34.255",,,,
"node160","192.168.35.1",,,,
"node161","192.168.35.2",,,,
"node164","192.168.35.5",,,,
"node168","192.168.35.9",,,,
"node183","192.168.35.24",,,,
"node184","192.168.35.25",,,,
"node186","192.168.35.27",,,,
"node188","192.168.35.29",,,,
"node189","192.168.35.30",,,,
"node191","192.168.35.32",,,,
"node195","192.168.35.36",,,,
"node196","192.168.35.37",,,,
"node201","192.168.33.1",,,,
"node205","192.168.33.5",,,,
"node208","192.168.33.8",,,,
"node210","192.168.33.10",,,,
"node213","192.168.33.13",,,,
"node214","192.168.33.14",,,,
"node151","192.168.34.248",,,,
"node159","192.168.35.0",,,,
"node190","192.168.35.31",,,,
"node202","192.168.33.2",,,,
"node207","192.168.33.7",,,,
"node141","192.168.34.238",,,,
"node165","192.168.35.6",,,,
"node148","192.168.34.245",,,,
"node150","192.168.34.247",,,,
"node185","192.168.35.26",,,,
"node187","192.168.35.28",,,,
"node192","192.168.35.33",,,,
"node194","192.168.35.35",,,,
"node203","192.168.33.3",,,,
"node204","192.168.33.4",,,,
"node209","192.168.33.9",,,,
"node1337","192.168.34.66",,,,
"node231","192.168.33.31",,,,
"node229","192.168.33.29",,,,
"node232","192.168.33.32",,,,
"node233","192.168.33.33",,,,
"node234","192.168.33.34",,,,
"node235","192.168.33.35",,,,
"node238","192.168.33.38",,,,
"node239","192.168.33.39",,,,
"node240","192.168.33.40",,,,
"node241","192.168.33.41",,,,
"node242","192.168.33.42",,,,
"node1344","192.168.34.73",,,,
"node1339","192.168.34.68",,,,
"node1342","192.168.34.71",,,,
"node1343","192.168.34.72",,,,
"node156","192.168.34.253",,,,
"node166","192.168.35.7",,,,
"node167","192.168.35.8",,,,
"node236","192.168.33.36",,,,
"node341","192.168.33.141",,,,
"node342","192.168.33.142",,,,
"node343","192.168.33.143",,,,
"node344","192.168.33.144",,,,
"node345","192.168.33.145",,,,
"node346","192.168.33.146",,,,
"node347","192.168.33.147",,,,
"node348","192.168.33.148",,,,
"node349","192.168.33.149",,,,
"node351","192.168.33.151",,,,
"node352","192.168.33.152",,,,
"node353","192.168.33.153",,,,
"node354","192.168.33.154",,,,
"node397","192.168.33.197",,,,
"node398","192.168.33.198",,,,
"node399","192.168.33.199",,,,
"node400","192.168.33.200",,,,
"node401","192.168.33.201",,,,
"node402","192.168.33.202",,,,
"node403","192.168.33.203",,,,
"node405","192.168.33.205",,,,
"node406","192.168.33.206",,,,
"node407","192.168.33.207",,,,
"node408","192.168.33.208",,,,
"node444","192.168.33.244",,,,
"node449","192.168.33.249",,,,
"node450","192.168.33.250",,,,
"node451","192.168.33.251",,,,
"node439","192.168.33.239",,,,
"node440","192.168.33.240",,,,
"node441","192.168.33.241",,,,
"node443","192.168.33.243",,,,
"node428","192.168.33.228",,,,
"node429","192.168.33.229",,,,
"node430","192.168.33.230",,,,
"node434","192.168.33.234",,,,
"node445","192.168.33.245",,,,
"node447","192.168.33.247",,,,
"node425","192.168.33.225",,,,
"node426","192.168.33.226",,,,
"node431","192.168.33.231",,,,
"node438","192.168.33.238",,,,
"hardac","192.168.32.252",,,,
"node432","192.168.33.232",,,,
"node446","192.168.33.246",,,,
"node448","192.168.33.248",,,,
"node453","192.168.35.38",,,,
"node454","192.168.35.39",,,,
"node455","192.168.35.40",,,,
"node456","192.168.35.41",,,,
"node457","192.168.35.42",,,,
"node459","192.168.35.44",,,,
"node460","192.168.35.45",,,,
"node462","192.168.35.47",,,,
"node463","192.168.35.48",,,,
"node464","192.168.35.49",,,,
"node465","192.168.35.50",,,,
"node466","192.168.35.51",,,,
"node1066","192.168.34.116",,,,
"node1070","192.168.34.120",,,,
"node1071","192.168.34.121",,,,
"node1073","192.168.34.123",,,,
